location,salmon_lifestage,region,date_of_collection,slice_conc_PPB,dish,louse_sex,louse_stage,Trial_start,temp_0_hrs,temp_1_hrs,temp_6_hrs,temp_12_hrs,temp_18_hrs,temp_24_hrs,dead,moribund,live,avg_temp_0_6_12_18_24hrs,dead_and_moribund,Ethanol_vial#,comments
unknown,Adult,Clayoquot,2019/08/04,0,1,M,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,"Because lice were taken off sportfish we don't know exactly how long they've been out of the ocean, on ice or in a hold.  This likley has an effect on mortality rates in trails. ",
unknown,Adult,Clayoquot,2019/08/04,0,1,M,A,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,0,1,F,P1,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,0,1,M,A,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,0,1,F,P2,14:50,18,15,10,10,12,13,0,1,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,0,1,M,P1,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,0,1,M,P2,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,0,1,M,P2,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,250,2,M,A,14:50,18,15,10,10,12,13,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/04,250,2,F,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,250,2,M,P2,14:50,18,15,10,10,12,13,0,1,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,250,2,F,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,250,2,M,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,250,2,M,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,250,2,F,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,M,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,F,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,M,A,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,M,P2,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,M,A,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,M,A,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/04,500,3,F,P1,14:50,18,15,10,10,12,13,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,P2,13:00,20,9,12,9,12,10,1,0,0,12.6,1,"Because lice were taken off sportfish we don't know exactly how long they've been out of the ocean, on ice or in a hold.  This likley has an effect on mortality rates in trails. ",
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,0,4,M,A,13:00,20,9,12,9,12,10,0,0,1,12.6,0,,
unknown,Adult,Clayoquot,2019/08/05,125,5,M,A,13:00,20,9,12,9,12,10,0,1,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/05,125,5,M,A,13:00,20,9,12,9,12,10,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/05,125,5,F,P2,13:00,20,9,12,9,12,10,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/05,125,5,M,A,13:00,20,9,12,9,12,10,1,0,0,12.6,1,,
unknown,Adult,Clayoquot,2019/08/05,125,5,M,A,13:00,20,9,12,9,12,10,1,0,0,12.6,1,,
